gold.tag	TnT.tag	Collins.tag	Stanford.tag	LAPOS.tag	NLP4J.tag
JJ	JJ	JJ	JJ	JJ	JJ
NNS	NNS	NNS	NNS	NNS	NNS
IN	IN	IN	IN	IN	IN
DT	DT	DT	DT	DT	DT
NNP	NNP	NNP	NNP	NNP	NNP
NNP	NNPS	NNP	NNP	NNPS	NNPS
CC	CC	CC	CC	CC	CC
NNP	NNPS	NNP	NNP	NNPS	NNP
NNP	NNP	NNP	NNP	NNP	NNP
VBD	VBD	VBD	VBD	VBD	VBD
NN	NN	NN	NN	NN	NN
WDT	WDT	WDT	WDT	WDT	WDT
MD	MD	MD	MD	MD	MD
VB	VB	VB	VB	VB	VB
WRB	WRB	WRB	WRB	WRB	WRB
DT	DT	DT	DT	DT	DT
JJ	JJ	JJ	JJ	JJ	JJ
NN	JJ	JJ	JJ	JJ	JJ
NN	NN	NN	NN	NN	NN
NN	NN	NN	NN	NN	NN
MD	MD	MD	MD	MD	MD
VB	VB	VB	VB	VB	VB
NN	NN	NN	NN	NN	NN
,	,	,	,	,	,
VBG	VBG	VBG	VBG	VBG	VBG
DT	DT	DT	DT	DT	DT
JJ	JJ	JJ	JJ	JJ	JJ
NN	NN	NN	NN	NN	NN
TO	TO	TO	TO	TO	TO
DT	DT	DT	DT	DT	DT
NN	NN	NN	NN	NN	NN
POS	POS	POS	POS	POS	POS
NN	NN	NN	NN	NN	NN
IN	IN	IN	IN	IN	IN
JJ	JJ	JJ	JJ	JJ	JJ
NNS	NNS	NNS	NNS	NNS	NNS
.	.	.	.	.	.
DT	DT	DT	DT	DT	DT
NN	NN	NN	NN	NN	NN
,	,	,	,	,	,
WP$	WP$	WP$	WP$	WP$	WP$
NNS	NNS	NNS	NNS	NNS	NNS
VBP	VBP	VBP	VBP	VBP	VBP
NNP	NNP	NNP	NNP	NNP	NNP
NNP	NNP	NNP	NNP	NNP	NNP
NNP	NNP	NNP	NNP	NNP	NNP
-LRB-	-LRB-	-LRB-	-LRB-	-LRB-	-LRB-
NNP	NNP	NNP	NNP	NNP	NNP
,	,	,	,	,	,
NNP	NNP	NNP	NNP	NNP	NNP
-RRB-	-RRB-	-RRB-	-RRB-	-RRB-	-RRB-
,	,	,	,	,	,
MD	MD	MD	MD	MD	MD
VB	VB	VB	VB	VB	VB
DT	DT	DT	DT	DT	DT
NNP	NNP	NNP	NNP	NNP	NNP
NNP	NNP	NNP	NNP	NNP	NNP
NNP	NNP	NNP	NNP	NNP	NNP
IN	IN	IN	IN	IN	IN
VBG	VBG	VBG	VBG	VBG	VBG
JJ	JJ	JJ	JJ	JJ	JJ
VBG	VBG	NN	JJ	JJ	NN
NN	NN	NN	NN	NN	NN
IN	IN	IN	IN	IN	IN
VBG	VBG	VBG	VBG	VBG	VBG
DT	DT	DT	DT	DT	DT
JJ	JJ	JJ	JJ	JJ	JJ
NN	NN	NN	NN	NN	NN
CC	CC	CC	CC	CC	CC
NN	NN	NN	NN	NN	NN
NN	NN	NN	NN	NN	NN
NN	NN	NN	NN	NN	NN
WDT	WDT	WDT	WDT	WDT	WDT
MD	MD	MD	MD	MD	MD
RB	RB	RB	RB	RB	RB
VB	VB	VB	VB	VB	VB
VBN	VBN	VBN	VBN	VBN	VBN
IN	IN	IN	IN	IN	IN
DT	DT	DT	DT	DT	DT
JJ	JJ	JJ	JJ	JJ	JJ
NN	NN	NN	NN	NN	NN
.	.	.	.	.	.
DT	DT	DT	DT	DT	DT
NN	NN	NN	NN	NN	NN
VBZ	VBZ	VBZ	VBZ	VBZ	VBZ
TO	TO	TO	TO	TO	TO
VB	VB	VB	VB	VB	VB
DT	DT	DT	DT	DT	DT
NNP	NNP	NNP	NNP	NNP	NNP
TO	TO	TO	TO	TO	TO
NNP	NNP	NNP	NNP	NNP	NNP
NNS	NNS	NNS	NNS	NNS	NNS
RB	RB	RB	RB	RB	RB
,	,	,	,	,	,
IN	IN	IN	IN	IN	IN
